package_id,package_name,country,cities_covered,duration,hotel_category,meals,transportation,major_attractions,activities,package_type,best_for,rating,estimated_cost,unnamed:_14
AUS001,australia budget explorer,australia,sydney melbourne,8,3star hotel,breakfast,airport transfer domestic flight shared coach,sydney opera house harbour bridge bondi beach blue mountains great ocean road twelve apostles,city tour beach visit shopping,budget,students solo travelers,4.4,110000,
AUS002,australia family holiday,australia,sydney gold coast,9,4star hotel,breakfast dinner,private transfers,sydney opera house sea world movie world dreamworld harbour cruise,theme parks wildlife park family activities,family,families,4.7,155000,
AUS003,australia honeymoon escape,australia,sydney hamilton island,8,5star resort,breakfast romantic dinner,private luxury transfers,whitehaven beach sydney harbour hamilton island,sunset cruise couples spa helicopter ride,honeymoon,couples,4.9,240000,
AUS004,australia adventure expedition,australia,cairns gold coast,10,4star hotel,breakfast,domestic flights,great barrier reef daintree rainforest gold coast,scuba diving skydiving bungee jumping atv ride jet boat ride,adventure,adventure lovers,4.8,195000,
AUS005,australia luxury escape,australia,sydney melbourne cairns,12,5star luxury hotel,all meals,business class flights private transfers,great barrier reef sydney opera house melbourne cbd,private yacht helicopter tour fine dining luxury shopping,luxury,premium travelers,5.0,410000,
AUS006,australia cultural heritage tour,australia,sydney canberra,8,4star hotel,breakfast,private coach,parliament house national museum australian war memorial aboriginal cultural centre,museum tour cultural walks,cultural,history enthusiasts,4.6,135000,
AUS007,australia nature explorer,australia,cairns tasmania,9,4star eco resort,breakfast,domestic flights,great barrier reef daintree rainforest cradle mountain national park,hiking wildlife safari penguin watching,nature wildlife,nature lovers,4.8,185000,
AUS008,ultimate australia grand tour,australia,sydney melbourne gold coast cairns canberra,15,5star hotel,breakfast dinner,domestic flights luxury coach,sydney opera house bondi beach blue mountains great ocean road great barrier reef parliament house,city tours cruises shopping wildlife encounters adventure activities,grand tour,all travelers,5.0,475000,
BRA001,brazil budget explorer,brazil,rio de janeiro so paulo,8,3star hotel,breakfast,airport transfers domestic flight shared coach,christ the redeemer copacabana beach sugarloaf mountain paulista avenue,beach walks city tour shopping,budget,students solo travelers,4.4,115000,
BRA002,brazil family adventure,brazil,rio de janeiro iguazu falls,9,4star hotel,breakfast dinner,private transfers domestic flight,christ the redeemer sugarloaf mountain iguazu falls national park,boat ride wildlife safari family excursions,family,families,4.7,165000,
BRA003,brazil romantic escape,brazil,rio de janeiro bzios,8,5star beach resort,breakfast romantic dinner,private luxury transfers,copacabana beach sugarloaf mountain ferradura beach,sunset cruise spa beach relaxation,honeymoon,couples,4.9,245000,
BRA004,brazil adventure expedition,brazil,manaus amazon rainforest,10,jungle lodge,breakfast lunch dinner,domestic flights river boat,amazon rainforest meeting of waters anavilhanas archipelago,jungle trekking canoeing wildlife safari fishing,adventure,adventure lovers,4.8,215000,
BRA005,brazil luxury escape,brazil,rio de janeiro so paulo fernando de noronha,12,5star luxury hotels,all meals,business class flights private transfers,christ the redeemer sugarloaf mountain fernando de noronha beaches,private yacht helicopter tour fine dining,luxury,premium travelers,5.0,425000,
BRA006,brazil cultural heritage tour,brazil,salvador rio de janeiro,8,4star hotel,breakfast,private coach,pelourinho historic centre lacerda elevator christ the redeemer,cultural walks museum visits samba show,cultural,history enthusiasts,4.6,145000,
BRA007,brazil nature wildlife explorer,brazil,pantanal bonito,9,eco lodge,breakfast dinner,domestic flights shared transfers,pantanal wetlands blue lake cave rio da prata,bird watching snorkeling wildlife safari nature trails,nature wildlife,nature lovers,4.8,195000,
BRA008,ultimate brazil grand tour,brazil,rio de janeiro so paulo iguazu falls salvador manaus,15,5star hotels,breakfast dinner,domestic flights luxury coach private transfers,christ the redeemer sugarloaf mountain copacabana beach iguazu falls amazon rainforest pelourinho,city tours jungle safari beach excursions cultural shows shopping,grand tour,all travelers,5.0,485000,
CAM001,cambodia budget explorer,cambodia,phnom penh siem reap,5,3star hotel,breakfast,airport transfers shared coach,angkor wat royal palace national museum pub street,temple tours local markets cultural walks,budget,students solo travelers,4.4,35000,
CAM002,cambodia family discovery,cambodia,siem reap phnom penh,6,4star hotel,breakfast dinner,private transfers,angkor thom bayon temple royal palace tonl sap lake,family sightseeing boat cruise cultural shows,family,families,4.7,55000,
CAM003,cambodia romantic escape,cambodia,siem reap koh rong,6,5star resort,breakfast romantic dinner,private transfers domestic flight,angkor wat koh rong beaches sunset point,beach relaxation spa sunset cruise,honeymoon,couples,4.9,95000,
CAM004,cambodia adventure expedition,cambodia,mondulkiri siem reap,7,eco lodge,breakfast lunch,domestic transfers,mondulkiri forests elephant valley project angkor archaeological park,jungle trekking wildlife encounters hiking,adventure,adventure lovers,4.8,78000,
CAM005,cambodia luxury escape,cambodia,phnom penh siem reap koh rong,9,5star luxury resort,all meals,private luxury transfers domestic flight,angkor wat royal palace koh rong island,luxury spa private cruise fine dining,luxury,premium travelers,5.0,165000,
CAM006,cambodia cultural heritage tour,cambodia,phnom penh siem reap,7,4star hotel,breakfast,private coach,angkor thom ta prohm royal palace national museum,heritage tours traditional dance show museum visits,cultural,history enthusiasts,4.8,68000,
CAM007,cambodia nature explorer,cambodia,cardamom mountains tonl sap,7,eco resort,breakfast dinner,shared transfers,cardamom national park tonl sap biosphere reserve,bird watching kayaking nature trails,nature wildlife,nature lovers,4.7,72000,
CAM008,ultimate cambodia grand tour,cambodia,phnom penh siem reap battambang koh rong,10,5star hotel,breakfast dinner,domestic flight private coach,angkor wat bayon temple royal palace bamboo train koh rong beaches,temple tours island excursions cultural shows shopping,grand tour,all travelers,5.0,185000,
CAN001,canada budget explorer,canada,toronto ottawa,7,3star hotel,breakfast,airport transfers intercity coach,cn tower parliament hill rideau canal distillery district,city tours museum visits shopping,budget,students solo travelers,4.4,125000,
CAN002,canada family adventure,canada,toronto niagara falls,8,4star hotel,breakfast dinner,private transfers,niagara falls cn tower ripleys aquarium journey behind the falls,boat cruise family sightseeing aquarium visit,family,families,4.8,175000,
CAN003,canada romantic escape,canada,banff lake louise,7,5star mountain resort,breakfast romantic dinner,private transfers,banff national park lake louise moraine lake,gondola ride couples spa scenic picnic sunset walk,honeymoon,couples,4.9,245000,
CAN004,canada adventure expedition,canada,banff jasper,10,4star lodge,breakfast,rental suv park transfers,icefields parkway athabasca glacier maligne lake,hiking glacier walk canoeing wildlife safari,adventure,adventure lovers,4.8,215000,
CAN005,canada luxury escape,canada,vancouver whistler victoria,10,5star luxury hotel,all meals,private luxury transfers seaplane transfer,stanley park butchart gardens whistler village,private yacht spa fine dining helicopter tour,luxury,premium travelers,5.0,395000,
CAN006,canada cultural heritage tour,canada,qubec city montral,8,4star hotel,breakfast,private coach,old qubec notredame basilica chteau frontenac old montral,heritage walks museum tours french cuisine experience,cultural,history enthusiasts,4.7,155000,
CAN007,canada nature wildlife explorer,canada,churchill winnipeg,9,eco lodge,breakfast dinner,domestic flights shared transfers,wapusk national park hudson bay churchill wildlife area,polar bear safari beluga whale watching northern lights viewing,nature wildlife,nature lovers,4.9,275000,
CAN008,ultimate canada grand tour,canada,toronto ottawa montral qubec city banff vancouver,15,5star hotels,breakfast dinner,domestic flights luxury coach private transfers,niagara falls cn tower banff national park lake louise stanley park old qubec,city tours wildlife viewing scenic train ride shopping adventure activities,grand tour,all travelers,5.0,495000,
CHN001,china budget explorer,china,beijing shanghai,7,3star hotel,breakfast,airport transfers highspeed train,great wall of china forbidden city the bund yu garden,city tours shopping local food walk,budget,students solo travelers,4.5,95000,
CHN002,china family discovery,china,beijing xian,8,4star hotel,breakfast dinner,private transfers highspeed train,great wall forbidden city terracotta army bell tower,cultural tours museum visits family activities,family,families,4.8,145000,
CHN003,china romantic escape,china,shanghai hangzhou,7,5star hotel,breakfast romantic dinner,private transfers,west lake the bund oriental pearl tower xintiandi,sunset cruise tea plantation visit spa,honeymoon,couples,4.9,195000,
CHN004,china adventure expedition,china,zhangjiajie guilin,9,4star hotel,breakfast,domestic flights private coach,zhangjiajie national forest park glass bridge li river reed flute cave,hiking cable car ride river cruise,adventure,adventure lovers,4.8,185000,
CHN005,china luxury escape,china,beijing shanghai hangzhou,10,5star luxury hotel,all meals,business class domestic flights private transfers,great wall forbidden city west lake the bund,private city tours luxury shopping fine dining spa,luxury,premium travelers,5.0,325000,
CHN006,china cultural heritage tour,china,beijing xian luoyang,9,4star hotel,breakfast,highspeed train private coach,forbidden city temple of heaven terracotta army longmen grottoes,heritage walks museum tours traditional performances,cultural,history enthusiasts,4.8,165000,
CHN007,china nature explorer,china,jiuzhaigou huangshan,8,eco resort,breakfast dinner,domestic flights shared transfers,jiuzhaigou valley huangshan yellow mountain five flower lake,hiking photography nature trails,nature wildlife,nature lovers,4.9,175000,
CHN008,ultimate china grand tour,china,beijing xian shanghai guilin zhangjiajie,15,5star hotels,breakfast dinner,domestic flights highspeed train private transfers,great wall forbidden city terracotta army the bund li river zhangjiajie national forest park,city tours river cruise hiking cultural shows shopping,grand tour,all travelers,5.0,395000,
FRA001,france budget explorer,france,paris lyon,6,3star hotel,breakfast,airport transfers highspeed train,eiffel tower louvre museum notredame cathedral basilica of notredame de fourvire,city tours museum visits shopping,budget,students solo travelers,4.5,120000,
FRA002,france family discovery,france,paris disneyland paris,7,4star hotel,breakfast dinner,private transfers,eiffel tower disneyland paris seine river arc de triomphe,theme park visits river cruise family sightseeing,family,families,4.8,185000,
FRA003,france romantic escape,france,paris nice,7,5star hotel,breakfast romantic dinner,domestic flight private transfers,eiffel tower champslyses promenade des anglais french riviera,sunset cruise wine tasting spa fine dining,honeymoon,couples,4.9,255000,
FRA004,france adventure expedition,france,chamonix annecy,8,4star mountain lodge,breakfast,private transfers,mont blanc aiguille du midi lake annecy,hiking cable car ride paragliding mountain biking,adventure,adventure lovers,4.8,225000,
FRA005,france luxury escape,france,paris nice monaco,10,5star luxury hotel,all meals,business class domestic flights private transfers,eiffel tower palace of versailles french riviera monte carlo,private yacht luxury shopping michelinstar dining spa,luxury,premium travelers,5.0,445000,
FRA006,france cultural heritage tour,france,paris strasbourg,8,4star hotel,breakfast,highspeed train private coach,louvre museum palace of versailles strasbourg cathedral montmartre,heritage walks museum tours cultural shows,cultural,history enthusiasts,4.8,175000,
FRA007,france nature explorer,france,provence loire valley,8,eco resort,breakfast dinner,private coach,lavender fields loire valley castles verdon gorge,nature walks cycling photography vineyard tours,nature wildlife,nature lovers,4.7,195000,
FRA008,ultimate france grand tour,france,paris lyon nice strasbourg provence,14,5star hotels,breakfast dinner,highspeed train domestic flights private transfers,eiffel tower louvre museum palace of versailles french riviera loire valley provence lavender fields,city tours wine tasting river cruise shopping cultural experiences,grand tour,all travelers,5.0,495000,
GER001,germany budget explorer,germany,berlin munich,6,3star hotel,breakfast,airport transfers highspeed train,brandenburg gate berlin wall memorial marienplatz english garden,city tours museum visits shopping,budget,students solo travelers,4.5,115000,
GER002,germany family discovery,germany,munich stuttgart,7,4star hotel,breakfast dinner,private transfers,bmw museum mercedesbenz museum nymphenburg palace munich zoo,museum visits family sightseeing cultural experiences,family,families,4.8,175000,
GER003,germany romantic escape,germany,munich fssen,7,5star hotel,breakfast romantic dinner,private transfers,neuschwanstein castle marienplatz alpsee lake,castle tour spa romantic dinner cruise scenic drives,honeymoon,couples,4.9,245000,
GER004,germany adventure expedition,germany,garmischpartenkirchen black forest,8,mountain lodge,breakfast,private coach,zugspitze black forest triberg waterfalls,hiking cable car ride mountain biking ziplining,adventure,adventure lovers,4.8,210000,
GER005,germany luxury escape,germany,berlin munich heidelberg,10,5star luxury hotel,all meals,business class domestic flights private transfers,brandenburg gate heidelberg castle neuschwanstein castle,luxury shopping fine dining private city tours spa,luxury,premium travelers,5.0,395000,
GER006,germany cultural heritage tour,germany,berlin dresden leipzig,8,4star hotel,breakfast,highspeed train private coach,museum island zwinger palace frauenkirche leipzig old town,heritage walks museum tours classical music concert,cultural,history enthusiasts,4.8,165000,
GER007,germany nature explorer,germany,black forest berchtesgaden,8,eco resort,breakfast dinner,private transfers,black forest national park knigssee eagles nest,hiking boat ride wildlife watching nature photography,nature wildlife,nature lovers,4.7,185000,
GER008,ultimate germany grand tour,germany,berlin hamburg munich heidelberg black forest,14,5star hotels,breakfast dinner,highspeed train domestic flights private transfers,brandenburg gate miniatur wunderland neuschwanstein castle heidelberg castle black forest,city tours river cruise cultural shows shopping nature excursions,grand tour,all travelers,5.0,475000,
GRE001,greece budget explorer,greece,athens thessaloniki,6,3star hotel,breakfast,airport transfers intercity bus,acropolis parthenon white tower aristotelous square,city tours museum visits local market shopping,budget,students solo travelers,4.5,85000,
GRE002,greece family discovery,greece,athens crete,7,4star hotel,breakfast dinner,domestic flight private transfers,knossos palace acropolis museum elafonissi beach,beach activities historical tours family excursions,family,families,4.8,145000,
GRE003,greece romantic escape,greece,santorini mykonos,7,5star cliffside resort,breakfast romantic dinner,highspeed ferry private transfers,oia village red beach little venice windmills,sunset cruise wine tasting couples spa fine dining,honeymoon,couples,4.9,225000,
GRE004,greece adventure expedition,greece,meteora crete,8,4star hotel,breakfast,rental car private transfers,meteora monasteries samaria gorge balos lagoon,hiking rock climbing gorge trekking kayaking,adventure,adventure lovers,4.8,175000,
GRE005,greece luxury escape,greece,athens santorini mykonos,10,5star luxury resort,all meals,domestic flights luxury yacht transfers,acropolis oia paradise beach delos island,private yacht cruise helicopter tour luxury shopping spa,luxury,premium travelers,5.0,365000,
GRE006,greece cultural heritage tour,greece,athens delphi olympia,8,4star hotel,breakfast,private coach,acropolis delphi archaeological site ancient olympia temple of zeus,guided heritage tours museum visits cultural performances,cultural,history enthusiasts,4.8,155000,
GRE007,greece nature explorer,greece,zakynthos corfu,8,eco resort,breakfast dinner,ferry private transfers,navagio beach blue caves corfu old town,snorkeling boat tours nature walks turtle watching,nature wildlife,nature lovers,4.8,165000,
GRE008,ultimate greece grand tour,greece,athens santorini mykonos crete delphi,14,5star hotels,breakfast dinner,domestic flights ferries private transfers,acropolis oia village knossos palace navagio beach delphi,island hopping sunset cruises historical tours beach activities shopping,grand tour,all travelers,5.0,425000,
IDN001,indonesia budget explorer,indonesia,bali ubud,7,3star hotel,breakfast,airport transfers shared coach,tanah lot temple ubud monkey forest tegallalang rice terraces kuta beach,temple visits beach walks shopping,budget,students solo travelers,4.5,75000,
IDN002,indonesia family discovery,indonesia,bali nusa dua,8,4star resort,breakfast dinner,private transfers,garuda wisnu kencana bali safari marine park nusa dua beach uluwatu temple,cultural shows beach activities family excursions,family,families,4.8,125000,
IDN003,indonesia romantic escape,indonesia,bali gili islands,7,5star beach resort,breakfast romantic dinner,speedboat private transfers,uluwatu temple gili trawangan seminyak beach ubud,sunset cruise couples spa candlelight dinner beach relaxation,honeymoon,couples,4.9,185000,
IDN004,indonesia adventure expedition,indonesia,lombok komodo island,9,4star hotel,breakfast,domestic flight boat transfers,mount rinjani komodo national park pink beach,trekking scuba diving snorkeling island hopping,adventure,adventure lovers,4.8,175000,
IDN005,indonesia luxury escape,indonesia,bali ubud nusa penida,10,5star luxury resort,all meals,private luxury transfers speedboat,nusa penida ubud palace tanah lot seminyak,private villa stay yacht cruise spa fine dining,luxury,premium travelers,5.0,325000,
IDN006,indonesia cultural heritage tour,indonesia,yogyakarta bali,8,4star hotel,breakfast,domestic flight private coach,borobudur temple prambanan temple ubud palace tirta empul temple,heritage walks traditional dance show batik workshop,cultural,history enthusiasts,4.8,145000,
IDN007,indonesia nature explorer,indonesia,raja ampat bali,9,eco resort,breakfast dinner,domestic flights boat transfers,raja ampat islands west papua marine park tegenungan waterfall,snorkeling wildlife watching kayaking nature photography,nature wildlife,nature lovers,4.9,225000,
IDN008,ultimate indonesia grand tour,indonesia,bali ubud lombok komodo island yogyakarta,14,5star hotels,breakfast dinner,domestic flights ferries private transfers,tanah lot temple borobudur komodo national park mount batur nusa penida,island hopping cultural tours beach activities trekking shopping,grand tour,all travelers,5.0,395000,
ITA001,italy budget explorer,italy,rome florence,6,3star hotel,breakfast,airport transfers highspeed train,colosseum roman forum florence cathedral ponte vecchio,city tours museum visits shopping,budget,students solo travelers,4.5,110000,
ITA002,italy family discovery,italy,rome venice,7,4star hotel,breakfast dinner,private transfers highspeed train,colosseum vatican museums st marks basilica grand canal,gondola ride family sightseeing cultural tours,family,families,4.8,170000,
ITA003,italy romantic escape,italy,venice amalfi coast,7,5star luxury hotel,breakfast romantic dinner,private transfers domestic flight,grand canal rialto bridge positano amalfi coast,gondola ride sunset cruise couples spa fine dining,honeymoon,couples,4.9,245000,
ITA004,italy adventure expedition,italy,dolomites lake garda,8,mountain lodge,breakfast,rental car private transfers,tre cime di lavaredo lake garda seceda ridge,hiking rock climbing cycling cable car ride,adventure,adventure lovers,4.8,195000,
ITA005,italy luxury escape,italy,rome florence venice milan,10,5star luxury hotel,all meals,business class domestic flights private transfers,colosseum vatican city duomo di milano grand canal,private city tours luxury shopping michelinstar dining wine tasting,luxury,premium travelers,5.0,415000,
ITA006,italy cultural heritage tour,italy,rome florence pisa,8,4star hotel,breakfast,highspeed train private coach,colosseum vatican museums leaning tower of pisa uffizi gallery,heritage walks museum tours renaissance art experience,cultural,history enthusiasts,4.8,165000,
ITA007,italy nature explorer,italy,cinque terre lake como,8,eco resort,breakfast dinner,train private transfers,cinque terre national park lake como bellagio,coastal hiking boat cruise nature photography,nature wildlife,nature lovers,4.8,185000,
ITA008,ultimate italy grand tour,italy,rome florence venice milan naples amalfi coast,14,5star hotels,breakfast dinner,highspeed trains domestic flight private transfers,colosseum vatican city leaning tower of pisa grand canal duomo di milano pompeii amalfi coast,city tours gondola ride wine tasting shopping coastal excursions,grand tour,all travelers,5.0,465000,
JAP001,japan budget explorer,japan,tokyo osaka,7,3star hotel,breakfast,airport transfers shinkansen bullet train,tokyo tower shibuya crossing osaka castle dotonbori,city tours shopping street food experience,budget,students solo travelers,4.6,135000,
JAP002,japan family discovery,japan,tokyo kyoto,8,4star hotel,breakfast dinner,private transfers shinkansen,tokyo disneyland fushimi inari shrine arashiyama bamboo forest asakusa temple,theme parks cultural experiences family sightseeing,family,families,4.8,185000,
